openalex_id,full_name,affiliated_institution,country,research_topics,works_count,citation_count,h_index,profile_url,profile_image_url
https://openalex.org/A5037658956,L. Fabbri,Istituto Nazionale di Fisica Nucleare,IT,Particle physics theoretical and experimental studies; High-Energy Particle Collisions Research; Particle Detector Development and Performance; Quantum Chromodynamics and Particle Interactions; Dark Matter and Cosmic Phenomena,2362,158679,173,https://openalex.org/A5037658956,
https://openalex.org/A5106762330,W. Taylor,Mohammed V University,MA,Particle physics theoretical and experimental studies; High-Energy Particle Collisions Research; Quantum Chromodynamics and Particle Interactions; Particle Detector Development and Performance; Dark Matter and Cosmic Phenomena,2159,128620,152,https://openalex.org/A5106762330,
https://openalex.org/A5024996384,A. G. Goussiou,University of Salento,IT,Particle physics theoretical and experimental studies; High-Energy Particle Collisions Research; Quantum Chromodynamics and Particle Interactions; Particle Detector Development and Performance; Dark Matter and Cosmic Phenomena,2047,124740,150,https://openalex.org/A5024996384,
https://openalex.org/A5108167136,M. Bosman,Barcelona Institute of Science and Technology,ES,Particle physics theoretical and experimental studies; High-Energy Particle Collisions Research; Particle Detector Development and Performance; Quantum Chromodynamics and Particle Interactions; Dark Matter and Cosmic Phenomena,1933,117972,148,https://openalex.org/A5108167136,
https://openalex.org/A5086358379,F. Ould-Saada,Lawrence Berkeley National Laboratory,US,Particle physics theoretical and experimental studies; High-Energy Particle Collisions Research; Particle Detector Development and Performance; Quantum Chromodynamics and Particle Interactions; Dark Matter and Cosmic Phenomena,1746,112399,147,https://openalex.org/A5086358379,
https://openalex.org/A5007113202,M. Bindi,The Polytechnic University of Japan,JP,Particle physics theoretical and experimental studies; High-Energy Particle Collisions Research; Particle Detector Development and Performance; Quantum Chromodynamics and Particle Interactions; Dark Matter and Cosmic Phenomena,1697,105545,145,https://openalex.org/A5007113202,
https://openalex.org/A5080457029,D. Benchekroun,University of Birmingham,GB,Particle physics theoretical and experimental studies; High-Energy Particle Collisions Research; Particle Detector Development and Performance; Quantum Chromodynamics and Particle Interactions; Dark Matter and Cosmic Phenomena,1693,108861,146,https://openalex.org/A5080457029,
https://openalex.org/A5085417202,F. Fassi,Mohammed V University,MA,Particle physics theoretical and experimental studies; High-Energy Particle Collisions Research; Particle Detector Development and Performance; Quantum Chromodynamics and Particle Interactions; Dark Matter and Cosmic Phenomena,1693,113177,148,https://openalex.org/A5085417202,
https://openalex.org/A5114374568,S. Hassani,Tohoku University,JP,Particle physics theoretical and experimental studies; High-Energy Particle Collisions Research; Particle Detector Development and Performance; Quantum Chromodynamics and Particle Interactions; Dark Matter and Cosmic Phenomena,1320,104953,145,https://openalex.org/A5114374568,
https://openalex.org/A5091130618,M. Gouighri,University of Oslo,NO,Particle physics theoretical and experimental studies; High-Energy Particle Collisions Research; Particle Detector Development and Performance; Quantum Chromodynamics and Particle Interactions; Dark Matter and Cosmic Phenomena,1143,68038,121,https://openalex.org/A5091130618,
